DateTime,Item_A,Item_B,Frequancy
2017-08-04,Alfajores,Coffee,5
2017-08-04,Coffee,Muffin,5
2017-12-01,Coffee,Toast,5
2017-01-14,Coffee,Pastry,5
2017-01-17,Cake,Coffee,5
2017-01-19,Sandwich,Tea,5
2017-01-19,Coffee,Sandwich,5
2017-01-27,Coffee,Tea,5
2017-01-28,Coffee,"Hot chocolate",5
2017-01-28,Coffee,Medialuna,5
2017-01-28,Coffee,Sandwich,5
2017-01-29,Medialuna,Tea,5
2017-05-02,Pastry,Tea,5
2017-11-02,Bread,"Hot chocolate",5
2017-12-02,Coffee,Toast,5
2017-02-13,Coffee,Juice,5
2017-02-14,Bread,Coffee,5
2017-02-15,Cake,Soup,5
2017-02-17,Cake,Coffee,5
2017-02-18,Alfajores,Coffee,5
2017-02-19,Bread,Cake,5
2017-02-21,Coffee,Pastry,5
2017-02-21,Coffee,Toast,5
2017-02-25,Bread,Pastry,5
2017-02-25,Bread,Medialuna,5
2017-02-26,Coffee,"Hot chocolate",5
2017-02-27,Bread,Coffee,5
2017-02-28,Coffee,Pastry,5
2017-01-03,Bread,Tea,5
2017-02-03,Coffee,Pastry,5
2017-02-03,Bread,Pastry,5
2017-03-03,Coffee,Cookies,5
2017-04-03,Bread,Soup,5
2017-05-03,Bread,Pastry,5
2017-07-03,Cake,Coffee,5
2017-09-03,Coffee,Pastry,5
2017-12-03,Coffee,Sandwich,5
2017-03-16,Cake,Coffee,5
2017-03-17,Coffee,Cookies,5
2017-03-24,Brownie,Coffee,5
2017-03-26,Bread,Cake,5
2017-03-26,Bread,Sandwich,5
2017-03-04,Coffee,Sandwich,5
2017-11-01,Coffee,Muffin,5
2017-11-01,Bread,Coffee,5
2017-01-22,Coffee,Scone,5
2017-04-02,Coffee,Tea,5
2017-04-02,Bread,Cake,5
2017-10-02,Cake,Coffee,5
2017-10-02,Bread,Cake,5
2017-12-02,Coffee,Cookies,5
2017-02-13,Alfajores,Coffee,5
2017-02-18,Cake,Coffee,5
2017-02-19,Alfajores,Bread,5
2017-02-24,Coffee,Soup,5
